Nasrin Akhter, PhD
Carl Alphonce, PhD
Roshan Ayyalasomayajula, Ph
Ethan Blanton, PhD
Marina Blanton, PhD
Varun Chandola, PhD
Changyou Chen, PhD
Zongchen Chen, PhD
Karthik Dantu, PhD
Sreyasee Das Bhattacharjee, PhD
Murat Demirbas, PhD
Paul Dickson, PhD
David Doermann, PhD
Mingchen Gao, PhD
Venu Govindaraju, PhD
Jesse Hartloff, PhD
Tom Hayes, PhD
Xin He, PhD
Matthew Hertz, PhD
Andrew Hirsch, PhD
Christopher Hoadley, PhD
Hongxin Hu, PhD
Alan Hunt, MS
Kaiyi Ji, PhD
Zhanpeng Jin, PhD
Kenneth Joseph, PhD
Oliver Kennedy, PhD
Matthew Knepley, PhD
Tevfik Kosar, PhD
Vishnu Lokhande, PhD
Haonan Lu, PhD
Kelin Luo, PhD
Siwei Lyu, PhD
Eric Mikida, PhD
Russ Miller, PhD
Ifeoma Nwogu, PhD
Shamsad Parvin, PhD
Chunming Qiao, PhD
Bina Ramamurthy, PhD
Nalini Ratha, PhD
Ken Regan, PhD
Atri Rudra, PhD
A. Erdem Sariyuce, PhD
Kris Schindler, PhD
Ramalingam Sridhar, PhD
Rohini Srihari, PhD
Satish Tripathi, PhD
Shambhu Upadhyaya, PhD
Alina Vereshchaka, PhD
Chen Wang, PhD
Yaxiong Xie, PhD
Jinjun Xiong, PhD
Jinhui Xu, PhD
Wenyao Xu, PhD
Junsong Yuan, PhD
Zhuoyue Zhao, PhD
Ziming Zhao, PhD
Lukasz  Ziarek, PhD
Jaroslaw Zola, PhD
